                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70139,                0.80467,                0.98709,                0.41445,                0.42366,                0.36811,                0.11832,                 2.5721,                 2.3327,                 2.5777,              0.0006634,              0.0006634,              0.0006634
                     36,                0.63562,                  0.723,                0.95292,                0.16429,                0.18143,                0.14801,                0.05419,                 2.4799,                 5.1482,                 2.5096,              0.0006535,              0.0006535,              0.0006535
                     37,                0.60944,                 0.6806,                0.95248,                0.36657,                0.24167,                0.16485,                0.05347,                  2.639,                 4.5744,                 2.4283,              0.0006436,              0.0006436,              0.0006436
                     38,                0.60739,                0.73987,                 0.9679,                0.31964,                  0.198,                0.11981,                0.04704,                  2.621,                 4.2802,                 2.3466,              0.0006337,              0.0006337,              0.0006337
                     39,                0.62695,                0.70553,                0.94942,                0.32224,                    0.1,                0.10068,                0.04685,                 2.5896,                 3.6054,                  2.512,              0.0006238,              0.0006238,              0.0006238
                     40,                0.65083,                 0.7536,                0.95183,                0.29591,                  0.075,                0.05969,                0.02583,                 2.7101,                  4.426,                 2.6312,              0.0006139,              0.0006139,              0.0006139
                     41,                0.60154,                 0.6669,                0.92983,                 0.0967,                  0.175,                 0.0922,                0.04672,                 2.6174,                 3.8314,                  2.435,               0.000604,               0.000604,               0.000604
                     42,                0.59134,                0.66011,                 0.9295,                0.40133,                  0.125,                0.07129,                0.03505,                 2.7301,                 4.5642,                 2.7165,              0.0005941,              0.0005941,              0.0005941
                     43,                0.62729,                0.65221,                0.94573,                 0.5559,                0.11667,                0.19013,                 0.0567,                 2.5475,                 3.6346,                 2.4099,              0.0005842,              0.0005842,              0.0005842
                     44,                0.60993,                0.66725,                0.93618,                0.32459,                0.15417,                0.10094,                 0.0392,                 2.4522,                  3.688,                 2.4141,              0.0005743,              0.0005743,              0.0005743
                     45,                0.58091,                0.62253,                0.91587,                0.08053,                   0.15,                0.05129,                0.01588,                 2.6878,                 5.3302,                 2.7056,              0.0005644,              0.0005644,              0.0005644
                     46,                0.57767,                0.65697,                0.93673,                0.34371,                0.03278,                0.05231,                0.02084,                 2.5937,                  5.364,                 2.7165,              0.0005545,              0.0005545,              0.0005545
                     47,                0.56183,                0.64813,                0.93736,                0.15117,                0.14956,                0.08623,                 0.0445,                 2.3765,                 4.4214,                 2.3226,              0.0005446,              0.0005446,              0.0005446
                     48,                0.60141,                0.66595,                0.94125,                0.57202,                 0.1125,                0.10454,                0.05547,                 2.7501,                  4.508,                 2.6913,              0.0005347,              0.0005347,              0.0005347
                     49,                0.60243,                0.61452,                0.92408,                0.10066,                0.15992,                0.06262,                0.02213,                 2.8101,                 5.3955,                 2.7258,              0.0005248,              0.0005248,              0.0005248
                     50,                0.59772,                0.62871,                0.94015,                 0.3828,                0.15417,                0.14177,                0.05743,                 2.5123,                 3.8111,                 2.3866,              0.0005149,              0.0005149,              0.0005149
                     51,                0.58262,                0.60909,                 0.9536,                 0.4919,                0.09906,                0.07917,                0.02153,                 2.9098,                  4.019,                 2.8921,               0.000505,               0.000505,               0.000505
                     52,                0.56805,                0.59623,                0.91421,                0.23791,                   0.05,                0.03749,                0.00952,                 2.9531,                 5.1125,                 2.8683,              0.0004951,              0.0004951,              0.0004951
                     53,                0.55809,                 0.6083,                0.92259,                0.68582,                 0.0625,                0.04159,                0.01547,                 2.6544,                 4.1048,                 2.5298,              0.0004852,              0.0004852,              0.0004852
                     54,                0.52189,                0.51832,                0.90704,                0.47318,                 0.0875,                0.06251,                0.02908,                 2.6257,                  3.688,                 2.4847,              0.0004753,              0.0004753,              0.0004753
                     55,                0.50353,                0.50104,                0.88483,                0.31381,                0.11667,                0.06826,                0.02852,                 2.6122,                 3.8533,                 2.5063,              0.0004654,              0.0004654,              0.0004654
                     56,                0.56234,                0.58603,                0.92454,                0.48697,                0.09007,                0.11552,                0.04013,                 2.4091,                 3.9642,                  2.363,              0.0004555,              0.0004555,              0.0004555
                     57,                0.54366,                0.53119,                0.90863,                0.37825,                 0.2125,                0.29353,                0.08993,                 2.2837,                 3.7794,                 2.1507,              0.0004456,              0.0004456,              0.0004456
                     58,                0.50569,                0.54851,                0.89749,                0.52852,                0.21028,                 0.2111,                0.07784,                 2.1441,                 3.9323,                 2.1416,              0.0004357,              0.0004357,              0.0004357
                     59,                0.50656,                0.50695,                0.91394,                0.28848,                0.29945,                0.16858,                0.06995,                 2.3729,                 4.1136,                 2.3049,              0.0004258,              0.0004258,              0.0004258
                     60,                0.52647,                0.53089,                 0.8986,                 0.1392,                0.07917,                0.06265,                0.02732,                 2.4322,                 4.6215,                 2.3603,              0.0004159,              0.0004159,              0.0004159
                     61,                0.51219,                0.53867,                0.89905,                0.64693,                 0.0913,                0.07675,                0.03398,                 2.6174,                 3.8608,                 2.3454,               0.000406,               0.000406,               0.000406
                     62,                0.52482,                0.51625,                0.90033,                0.59699,                0.10417,                0.08089,                0.03559,                 2.5582,                 3.6866,                  2.357,              0.0003961,              0.0003961,              0.0003961
                     63,                0.50901,                0.50194,                0.89459,                0.33633,                0.13294,                0.12216,                0.05159,                 2.4852,                 3.5417,                 2.2604,              0.0003862,              0.0003862,              0.0003862
                     64,                0.50169,                0.52265,                0.90965,                0.26276,                0.11667,                0.14684,                0.06311,                 2.5631,                   4.07,                 2.3803,              0.0003763,              0.0003763,              0.0003763
                     65,                0.54056,                0.64715,                0.90938,                 0.3083,                    0.1,                0.09766,                0.04073,                 2.7538,                  3.449,                 2.4648,              0.0003664,              0.0003664,              0.0003664
                     66,                0.50662,                0.51421,                0.90418,                0.54785,                 0.1125,                0.11055,                  0.052,                  2.627,                 3.4733,                 2.4094,              0.0003565,              0.0003565,              0.0003565
                     67,                 0.4895,                0.48512,                0.88998,                0.53325,                 0.1411,                0.19366,                0.08812,                 2.6351,                 3.2466,                 2.4264,              0.0003466,              0.0003466,              0.0003466
                     68,                0.48189,                0.46079,                0.90214,                0.34606,                0.09582,                0.13251,                0.06247,                 2.4055,                 3.3872,                  2.237,              0.0003367,              0.0003367,              0.0003367
                     69,                0.47978,                0.46076,                0.89102,                 0.3422,                0.07917,                0.09753,                0.04849,                 2.4631,                 4.0608,                 2.3251,              0.0003268,              0.0003268,              0.0003268
                     70,                0.46533,                0.45316,                0.89316,                0.06181,                0.07917,                0.06459,                0.02414,                 2.8122,                  4.694,                 2.5845,              0.0003169,              0.0003169,              0.0003169
                     71,                 0.4473,                0.49509,                0.87736,                0.05122,                0.15417,                 0.0585,                0.02239,                  3.026,                 4.5845,                 2.9193,               0.000307,               0.000307,               0.000307
                     72,                0.47554,                0.44684,                0.88512,                0.55404,                0.10417,                0.08148,                0.03251,                 2.9815,                 4.2742,                  2.945,              0.0002971,              0.0002971,              0.0002971
                     73,                0.47378,                0.45332,                0.88259,                0.43837,                 0.1739,                0.19359,                0.05842,                 2.7458,                 4.0074,                 2.5536,              0.0002872,              0.0002872,              0.0002872
                     74,                0.46504,                0.45876,                 0.8781,                0.43895,                0.11667,                0.17561,                0.07049,                 2.4769,                 3.5582,                 2.1992,              0.0002773,              0.0002773,              0.0002773
                     75,                0.43809,                0.41133,                0.86814,                0.17864,                0.11667,                0.14096,                0.06418,                 2.4975,                 3.6449,                 2.3182,              0.0002674,              0.0002674,              0.0002674
                     76,                0.47681,                0.43317,                0.89437,                0.24797,                0.14005,                0.16828,                0.07586,                 2.4723,                 3.2177,                 2.2825,              0.0002575,              0.0002575,              0.0002575
                     77,                0.46493,                0.43085,                0.88267,                0.44197,                0.21331,                0.22794,                0.08192,                 2.5257,                 2.8887,                 2.2852,              0.0002476,              0.0002476,              0.0002476
                     78,                0.46964,                0.42021,                0.87382,                0.39885,                0.34583,                0.22703,                0.08181,                 2.4269,                 2.7601,                 2.2097,              0.0002377,              0.0002377,              0.0002377
                     79,                0.45993,                0.42959,                0.88173,                0.37767,                0.36137,                0.22876,                0.09433,                 2.3924,                 2.8954,                 2.1963,              0.0002278,              0.0002278,              0.0002278
                     80,                0.44156,                0.40609,                0.86234,                0.49627,                0.14167,                0.20598,                0.09162,                 2.3959,                 3.0766,                 2.1428,              0.0002179,              0.0002179,              0.0002179
